scan,cluster
SPRING2639,C3
SPRING2641,C7
SPRING2642,C3
SPRING2643,C1
SPRING2646,C1
SPRING2647,C3
SPRING2652,C7
SPRING2655,C1
SPRING2657,C2
SPRING2658,C3
SPRING2659,C3
SPRING2660,C1
SPRING2662,C5
SPRING2663,C5
SPRING2665,C3
SPRING2667,C1
SPRING2669,C3
SPRING2671,C7
SPRING2672,C3
SPRING2673,C4
SPRING2681,C3
SPRING2682,C6
SPRING2683,C3
SPRING2686,C3
SPRING2687,C1
SPRING2690,C3
SPRING2691,C5
SPRING2692,C3
SPRING2693,C1
SPRING2694,C1
SPRING2697,C7
SPRING2698,C5
SPRING2699,C5
SPRING2700,C1
SPRING2701,C3
SPRING2702,C6
SPRING2703,C2
SPRING2704,C2
SPRING2705,C7
SPRING2708,C5
SPRING2710,C6
SPRING2711,C5
SPRING2713,C7
SPRING2714,C2
SPRING2716,C3
SPRING2722,C4
SPRING2724,C2
SPRING2725,C3
SPRING2726,C1
SPRING2728,C4
SPRING2730,C2
SPRING2731,C1
SPRING2732,C5
SPRING2734,C6
SPRING2735,C6
SPRING2736,C3
SPRING2737,C3
SPRING2739,C6
SPRING2740,C1
SPRING2741,C1
SPRING2742,C6
SPRING2744,C7
SPRING2745,C2
SPRING2750,C1
SPRING2751,C6
SPRING2754,C3
SPRING2755,C3
SPRING2756,C3
SPRING2757,C7
SPRING2758,C6
SPRING2760,C7
SPRING2763,C7
SPRING2764,C1
SPRING2765,C6
SPRING2766,C7
SPRING2767,C3
SPRING2768,C3
SPRING2771,C3
SPRING2773,C2
SPRING2774,C3
SPRING2776,C3
SPRING2779,C2
SPRING2781,C7
SPRING2782,C3
SPRING2784,C3
SPRING2785,C2
SPRING2786,C3
SPRING2787,C7
SPRING2788,C7
SPRING2789,C2
SPRING2791,C3
SPRING2794,C2
SPRING2795,C3
SPRING2796,C3
SPRING2797,C1
SPRING2800,C1
SPRING2801,C5
SPRING2802,C6
SPRING2803,C3
SPRING2806,C6
SPRING2807,C1
SPRING2808,C7
SPRING2809,C2
SPRING2810,C7
SPRING2811,C3
SPRING2813,C7
SPRING2814,C2
SPRING2815,C7
SPRING2816,C7
SPRING2817,C6
SPRING2818,C3
SPRING2819,C3
SPRING2820,C4
SPRING2826,C1
SPRING2827,C3
SPRING2828,C2
SPRING2829,C7
SPRING2830,C4
SPRING2832,C3
SPRING2833,C3
SPRING2834,C7
SPRING2835,C2
SPRING2836,C2
SPRING2837,C3
SPRING2838,C1
SPRING2843,C6
SPRING2845,C7
SPRING2846,C3
SPRING2848,C7
SPRING2850,C3
SPRING2851,C7
SPRING2854,C6
SPRING2856,C6
SPRING2857,C5
SPRING2859,C7
SPRING2861,C1
SPRING2865,C6
SPRING2866,C1
SPRING2868,C1
SPRING2873,C4
SPRING2874,C1
SPRING2878,C6
SPRING2883,C7
SPRING2884,C5
SPRING2885,C1
SPRING2886,C1
SPRING2891,C3
SPRING2894,C5
SPRING2896,C7
SPRING2897,C1
SPRING2898,C3
SPRING2900,C3
SPRING2901,C3
SPRING2902,C3
SPRING2904,C5
SPRING2905,C7
SPRING2918,C6
SPRING2919,C2
SPRING2922,C5
SPRING2923,C7
SPRING2924,C3
SPRING2928,C3
SPRING2930,C1
SPRING2931,C2
SPRING2932,C3
SPRING2933,C2
SPRING2934,C3
SPRING2940,C1
SPRING2941,C2
SPRING2943,C1
SPRING2946,C7
SPRING2947,C3
SPRING2949,C3
SPRING2951,C3
SPRING2952,C7
SPRING2954,C1
SPRING2957,C7
SPRING2958,C3
SPRING2959,C2
SPRING2961,C4
SPRING2965,C6
SPRING2966,C3
SPRING2967,C7
SPRING2970,C1
SPRING2972,C7
SPRING2976,C7
SPRING2977,C7
SPRING2978,C7
SPRING2979,C2
SPRING2981,C4
SPRING2984,C7
SPRING2985,C4
SPRING2986,C2
SPRING2988,C3
SPRING2989,C2
SPRING2991,C1
SPRING2995,C7
SPRING2996,C4
SPRING2999,C2
SPRING3001,C1
SPRING3003,C6
SPRING3006,C2
SPRING3007,C1
SPRING3008,C5
SPRING3010,C7
SPRING3011,C6
SPRING3013,C1
SPRING3016,C2
SPRING3018,C6
SPRING3019,C4
SPRING3021,C2
SPRING3024,C2
SPRING3026,C3
SPRING3027,C2
SPRING3028,C2
SPRING4002,C1
SPRING4003,C5
SPRING4005,C1
SPRING4006,C1
SPRING4008,C1
SPRING4009,C1
SPRING4010,C3
SPRING4012,C1
SPRING4013,C1
SPRING4014,C2
SPRING4015,C2
SPRING4016,C2
SPRING4017,C3
SPRING4020,C3
SPRING4022,C1
SPRING4023,C5
SPRING4024,C1
SPRING4028,C2
SPRING4029,C3
SPRING4030,C2
SPRING4031,C3
SPRING4033,C1
SPRING4034,C3
SPRING4037,C1
SPRING4038,C2
SPRING4040,C2
SPRING4041,C1
SPRING4043,C3
SPRING4049,C6
SPRING4055,C3
SPRING4062,C2
SPRING4070,C3
SPRING4072,C2
SPRING4076,C2
SPRING4079,C7
SPRING4084,C2
SPRING4085,C3
SPRING4086,C1
SPRING4087,C7
SPRING4089,C3
SPRING4090,C3
SPRING4091,C1
SPRING4092,C3
SPRING4096,C3
SPRING4098,C4
SPRING4100,C3
SPRING4102,C3
SPRING4105,C4
SPRING4109,C2
SPRING4111,C4
SPRING4116,C3
SPRING4117,C2
SPRING4119,C1
SPRING4120,C3
SPRING4122,C1
SPRING4124,C2
SPRING4125,C3
SPRING4129,C1
SPRING4131,C3
SPRING4136,C2
SPRING4137,C3
SPRING4139,C1
SPRING4140,C3
SPRING4141,C2
SPRING4142,C1
SPRING4146,C2
SPRING4148,C2
SPRING4149,C3
SPRING4150,C3
SPRING4153,C2
SPRING4157,C1
SPRING4158,C2
SPRING4163,C4
SPRING4166,C3
SPRING4167,C3
SPRING4171,C5
SPRING4175,C1
SPRING4178,C2
SPRING4179,C3
SPRING4187,C2
SPRING4188,C1
SPRING4189,C1
SPRING4192,C1
SPRING4195,C3
SPRING4198,C6
SPRING4199,C2
SPRING4200,C2
SPRING4201,C4
SPRING4202,C1
SPRING4203,C3
SPRING4204,C1
SPRING4205,C2
SPRING4215,C3
SPRING4218,C4
SPRING4219,C5
SPRING4221,C2
SPRING4226,C6
SPRING4232,C1
SPRING4235,C3
SPRING4237,C3
SPRING4239,C1
SPRING4240,C4
SPRING4241,C2
SPRING4242,C3
SPRING4243,C3
SPRING4244,C2
SPRING4246,C1
SPRING4249,C4
SPRING4250,C1
SPRING4251,C2
SPRING4252,C2
SPRING4253,C1
SPRING4255,C2
SPRING4257,C1
SPRING4258,C1
SPRING4259,C2
SPRING4260,C2
SPRING4261,C1
SPRING4262,C1
SPRING4263,C1
SPRING4265,C3
SPRING4267,C3
SPRING4268,C7
SPRING4269,C1
SPRING4271,C2
SPRING4273,C2
SPRING4275,C2
SPRING4276,C1
SPRING4277,C1
SPRING4278,C2
SPRING4281,C7
SPRING4283,C2
SPRING4285,C1
SPRING4292,C5
SPRING4298,C3
SPRING4300,C4
SPRING4301,C3
SPRING4302,C1
SPRING4305,C7
SPRING4306,C1
SPRING4308,C2
SPRING4309,C3
SPRING4310,C2
SPRING4313,C1
SPRING4315,C1
SPRING4323,C1
